金融信息_贷款利率_贷款利率(1985-07-22-2015-10-24)_宏观数据_新浪财经

利率执行日期, 利率名称, 年利率(%), 
2006-08-19, 优惠贷款(广深珠高速公路贷款), 3.87, 
2006-08-19, 优惠贷款(老少边穷发展经济贷款), 3.24, 
2006-08-19, 优惠贷款(民政部门福利工厂贷款), 4.68, 
2006-08-19, 优惠贷款(民族贸易及民族用品生产贷款), 3.24, 
2006-08-19, 优惠贷款(贫困县办工业贷款), 3.24, 
2006-08-19, 优惠贷款(特区、开发区差别利率贷款（五年以内）), 2.88, 
2006-08-19, 优惠贷款(特区、开发区差别利率贷款（五年以上）), 4.32, 
2006-08-19, 优惠贷款(银行系统印制企业基建储备贷款), 4.68, 
2006-08-19, 优惠贷款(中国进出口银行出口卖方信贷), , 
2006-08-19, 个人住房商业贷款(六个月以内), 5.02, 
2006-08-19, 个人住房商业贷款(六个月至一年), 5.51, 
2006-08-19, 个人住房商业贷款(三至五年), 5.83, 
2006-08-19, 个人住房商业贷款(五年以上), 6.16, 
2006-08-19, 个人住房商业贷款(一至三年), 5.67, 
2006-08-19, 个人住房公积金贷款(五年以上), 4.59, 
2006-08-19, 个人住房公积金贷款(五年以下), 4.14, 
2006-08-19, 流动资产贷款(流动资产贷款利率), , 
2006-04-28, 短期贷款(六个月以内), 5.40, 
2006-04-28, 短期贷款(六个月至一年), 5.85, 
2006-04-28, 中长期贷款(三至五年), 6.12, 
2006-04-28, 中长期贷款(五年以上), 6.39, 
2006-04-28, 中长期贷款(一至三年), 6.03, 
2006-04-28, 贴现(贴现), , 
2006-04-28, 优惠贷款(成套和高技术含量), 3.51, 
2006-04-28, 优惠贷款(低技术含量和一般产品), 4.23, 
2006-04-28, 优惠贷款(扶贫贴息贷款), 3.00, 
2006-04-28, 优惠贷款(广深珠高速公路贷款), 3.87, 
2006-04-28, 优惠贷款(老少边穷发展经济贷款), 2.97, 
2006-04-28, 优惠贷款(民政部门福利工厂贷款), 4.41, 
2006-04-28, 优惠贷款(民族贸易及民族用品生产贷款), 2.97, 
2006-04-28, 优惠贷款(贫困县办工业贷款), 2.97, 
2006-04-28, 优惠贷款(特区、开发区差别利率贷款（五年以内）), 2.88, 
2006-04-28, 优惠贷款(特区、开发区差别利率贷款（五年以上）), 4.32, 
2006-04-28, 优惠贷款(银行系统印制企业基建储备贷款), 4.68, 
2006-04-28, 优惠贷款(中国进出口银行出口卖方信贷), , 
2006-04-28, 个人住房商业贷款(六个月以内), 4.86, 
2006-04-28, 个人住房商业贷款(六个月至一年), 5.26, 
2006-04-28, 个人住房商业贷款(三至五年), 5.51, 
2006-04-28, 个人住房商业贷款(五年以上), 5.75, 
2006-04-28, 个人住房商业贷款(一至三年), 5.43, 
2006-04-28, 个人住房公积金贷款(五年以上), 4.59, 
2006-04-28, 个人住房公积金贷款(五年以下), 4.14, 
2006-04-28, 流动资产贷款(流动资产贷款利率), , 
2005-03-17, 再贴现(再贴现率), 3.24, 
2005-03-17, 个人住房商业贷款(一至六个月（含六个月）), 5.22, 
2004-10-29, 短期贷款(六个月以内), 5.22, 
2004-10-29, 短期贷款(六个月至一年), 5.58, 
2004-10-29, 中长期贷款(三至五年), 5.85, 
2004-10-29, 中长期贷款(五年以上), 6.12, 
2004-10-29, 中长期贷款(一至三年), 5.76, 
2004-10-29, 贴现(贴现), , 
2004-10-29, 优惠贷款(成套和高技术含量), 3.51, 
2004-10-29, 优惠贷款(低技术含量和一般产品), 4.23, 
2004-10-29, 优惠贷款(扶贫贴息贷款), 3.00, 
2004-10-29, 优惠贷款(广深珠高速公路贷款), 3.87, 
2004-10-29, 优惠贷款(老少边穷发展经济贷款), 2.70, 
2004-10-29, 优惠贷款(民政部门福利工厂贷款), 4.14, 
2004-10-29, 优惠贷款(民族贸易及民族用品生产贷款), 2.70, 
2004-10-29, 优惠贷款(贫困县办工业贷款), 2.70, 
2004-10-29, 优惠贷款(特区、开发区差别利率贷款（五年以内）), 2.88, 
2004-10-29, 优惠贷款(特区、开发区差别利率贷款（五年以上）), 4.32, 
2004-10-29, 优惠贷款(银行系统印制企业基建储备贷款), 4.68, 
2004-10-29, 优惠贷款(中国进出口银行出口卖方信贷), , 
2004-10-29, 个人住房商业贷款(六个月以内), 4.70, 
2004-10-29, 个人住房商业贷款(六个月至一年), 5.02, 
2004-10-29, 个人住房商业贷款(三至五年), 5.26, 
2004-10-29, 个人住房商业贷款(五年以上), 5.51, 
2004-10-29, 个人住房商业贷款(一至三年), 5.18, 
2004-10-29, 个人住房公积金贷款(五年以上), 4.23, 
2004-10-29, 个人住房公积金贷款(五年以下), 3.78, 
2004-10-29, 流动资产贷款(流动资产贷款利率), , 
2004-03-25, 再贴现(再贴现率), 3.24, 
2004-01-01, 罚息(挤占挪用贷款), , 
2004-01-01, 罚息(逾期贷款), , 
2003-12-21, 再贴现(再贴现率), 2.97, 
2002-02-21, 短期贷款(六个月以内), 5.04, 
2002-02-21, 短期贷款(六个月至一年), 5.31, 
2002-02-21, 中长期贷款(三至五年), 5.58, 
2002-02-21, 中长期贷款(五年以上), 5.76, 
2002-02-21, 中长期贷款(一至三年), 5.49, 
2002-02-21, 贴现(贴现), , 
2002-02-21, 再贴现(再贴现率), 2.97, 
2002-02-21, 优惠贷款(成套和高技术含量), 3.51, 
2002-02-21, 优惠贷款(低技术含量和一般产品), 4.23, 
2002-02-21, 优惠贷款(扶贫贴息贷款), 3.00, 
2002-02-21, 优惠贷款(广深珠高速公路贷款), 3.87, 
2002-02-21, 优惠贷款(老少边穷发展经济贷款), 2.43, 
2002-02-21, 优惠贷款(民政部门福利工厂贷款), 3.87, 
2002-02-21, 优惠贷款(民族贸易及民族用品生产贷款), 2.43, 
2002-02-21, 优惠贷款(贫困县办工业贷款), 2.43, 
2002-02-21, 优惠贷款(特区、开发区差别利率贷款（五年以内）), 2.88, 
2002-02-21, 优惠贷款(特区、开发区差别利率贷款（五年以上）), 4.32, 
2002-02-21, 优惠贷款(银行系统印制企业基建储备贷款), 4.68, 
2002-02-21, 优惠贷款(中国进出口银行出口卖方信贷), , 
2002-02-21, 个人住房商业贷款(六个月以内), 4.54, 
2002-02-21, 个人住房商业贷款(六个月至一年), 4.78, 
2002-02-21, 个人住房商业贷款(三至五年), 5.02, 
2002-02-21, 个人住房商业贷款(五年以上), 5.18, 
2002-02-21, 个人住房商业贷款(一至三年), 4.94, 
2002-02-21, 个人住房公积金贷款(五年以上), 4.05, 
2002-02-21, 个人住房公积金贷款(五年以下), 3.60, 
2002-02-21, 罚息(挤占挪用贷款), 18.00, 
2002-02-21, 罚息(逾期贷款), 7.56, 
2002-02-21, 流动资产贷款(流动资产贷款利率), , 
2001-09-11, 再贴现(再贴现率), 2.97, 
1999-06-10, 短期贷款(六个月以内), 5.58, 
1999-06-10, 短期贷款(六个月至一年), 5.85, 
1999-06-10, 中长期贷款(三至五年), 6.03, 
1999-06-10, 中长期贷款(五年以上), 6.21, 
1999-06-10, 中长期贷款(一至三年), 5.94, 
1999-06-10, 贴现(贴现), , 
1999-06-10, 再贴现(再贴现率), 2.16, 
1999-06-10, 优惠贷款(扶贫贴息贷款), 2.88, 
1999-06-10, 优惠贷款(老少边穷发展经济贷款), 2.97, 
1999-06-10, 优惠贷款(民政部门福利工厂贷款), 4.41, 
1999-06-10, 优惠贷款(民族贸易及民族用品生产贷款), 2.97, 
1999-06-10, 优惠贷款(贫困县办工业贷款), 2.97, 
1999-06-10, 个人住房商业贷款(六个月以内), 5.02, 
1999-06-10, 个人住房商业贷款(六个月至一年), 5.26, 
1999-06-10, 个人住房商业贷款(三至五年), 5.43, 
1999-06-10, 个人住房商业贷款(五年以上), 5.59, 
1999-06-10, 个人住房商业贷款(一至三年), 5.35, 
1999-06-10, 个人住房公积金贷款(五年以上), 4.59, 
1999-06-10, 个人住房公积金贷款(五年以下), 4.14, 
1998-12-07, 短期贷款(六个月以内), 6.12, 
1998-12-07, 短期贷款(六个月至一年), 6.39, 
1998-12-07, 中长期贷款(三至五年), 7.20, 
1998-12-07, 中长期贷款(五年以上), 7.56, 
1998-12-07, 中长期贷款(一至三年), 6.66, 
1998-12-07, 贴现(贴现), , 
1998-12-07, 再贴现(再贴现率), 3.96, 
1998-12-07, 优惠贷款(扶贫贴息贷款), 2.88, 
1998-12-07, 优惠贷款(老少边穷发展经济贷款), 3.60, 
1998-12-07, 优惠贷款(民政部门福利工厂贷款), 5.04, 
1998-12-07, 优惠贷款(民族贸易及民族用品生产贷款), 3.60, 
1998-12-07, 优惠贷款(贫困县办工业贷款), 3.60, 
1998-12-07, 个人住房商业贷款(六个月以内), 5.51, 
1998-12-07, 个人住房商业贷款(六个月至一年), 5.75, 
1998-12-07, 个人住房商业贷款(三至五年), 6.48, 
1998-12-07, 个人住房商业贷款(五年以上), 6.80, 
1998-12-07, 个人住房商业贷款(一至三年), 5.99, 
1998-12-07, 个人住房公积金贷款(五年以上), , 
1998-12-07, 个人住房公积金贷款(五年以下), , 
1998-07-01, 短期贷款(六个月以内), 6.57, 
1998-07-01, 短期贷款(六个月至一年), 6.93, 
1998-07-01, 中长期贷款(三至五年), 7.65, 
1998-07-01, 中长期贷款(五年以上), 8.01, 
1998-07-01, 中长期贷款(一至三年), 7.11, 
1998-07-01, 贴现(贴现), , 
1998-07-01, 再贴现(再贴现率), 4.32, 
1998-07-01, 优惠贷款(扶贫贴息贷款), 2.88, 
1998-07-01, 优惠贷款(老少边穷发展经济贷款), 4.05, 
1998-07-01, 优惠贷款(民政部门福利工厂贷款), 5.49, 
1998-07-01, 优惠贷款(民族贸易及民族用品生产贷款), 4.05, 
1998-07-01, 优惠贷款(贫困县办工业贷款), 4.05, 
1998-07-01, 个人住房商业贷款(六个月以内), 5.91, 
1998-07-01, 个人住房商业贷款(六个月至一年), 6.24, 
1998-07-01, 个人住房商业贷款(三至五年), 6.88, 
1998-07-01, 个人住房商业贷款(五年以上), 7.21, 
1998-07-01, 个人住房商业贷款(一至三年), 6.40, 
1998-07-01, 个人住房公积金贷款(五年以上), , 
1998-07-01, 个人住房公积金贷款(五年以下), , 
1998-03-25, 短期贷款(六个月以内), 7.02, 
1998-03-25, 短期贷款(六个月至一年), 7.92, 
1998-03-25, 中长期贷款(三至五年), 9.72, 
1998-03-25, 中长期贷款(五年以上), 10.35, 
1998-03-25, 中长期贷款(一至三年), 9.00, 
1998-03-25, 贴现(贴现), , 
1998-03-25, 优惠贷款(扶贫贴息贷款), 2.88, 
1998-03-25, 优惠贷款(老少边穷发展经济贷款), 5.04, 
1998-03-25, 优惠贷款(民政部门福利工厂贷款), 6.48, 
1998-03-25, 优惠贷款(民族贸易及民族用品生产贷款), 5.04, 
1998-03-25, 优惠贷款(贫困县办工业贷款), 5.04, 
1998-03-25, 个人住房商业贷款(六个月以内), 6.32, 
1998-03-25, 个人住房商业贷款(六个月至一年), 7.13, 
1998-03-25, 个人住房商业贷款(三至五年), 8.75, 
1998-03-25, 个人住房商业贷款(五年以上), 9.31, 
1998-03-25, 个人住房商业贷款(一至三年), 8.10, 
1998-03-25, 个人住房公积金贷款(五年以上), , 
1998-03-25, 个人住房公积金贷款(五年以下), , 
1998-03-21, 再贴现(再贴现率), 6.03, 
1997-10-23, 短期贷款(六个月以内), 7.65, 
1997-10-23, 短期贷款(六个月至一年), 8.64, 
1997-10-23, 中长期贷款(三至五年), 9.90, 
1997-10-23, 中长期贷款(五年以上), 10.53, 
1997-10-23, 中长期贷款(一至三年), 9.36, 
1997-10-23, 贴现(贴现), , 
1997-10-23, 再贴现(再贴现率), , 
1997-10-23, 优惠贷款(扶贫贴息贷款), 2.88, 
1997-10-23, 优惠贷款(老少边穷发展经济贷款), 5.76, 
1997-10-23, 优惠贷款(民政部门福利工厂贷款), 7.20, 
1997-10-23, 优惠贷款(民族贸易及民族用品生产贷款), 5.76, 
1997-10-23, 优惠贷款(贫困县办工业贷款), 5.76, 
1997-10-23, 个人住房商业贷款(六个月以内), 6.88, 
1997-10-23, 个人住房商业贷款(六个月至一年), 7.78, 
1997-10-23, 个人住房商业贷款(三至五年), 8.91, 
1997-10-23, 个人住房商业贷款(五年以上), 9.48, 
1997-10-23, 个人住房商业贷款(一至三年), 8.42, 
1997-10-23, 个人住房公积金贷款(五年以上), , 
1997-10-23, 个人住房公积金贷款(五年以下), , 
1996-08-23, 短期贷款(六个月以内), 9.18, 
1996-08-23, 短期贷款(六个月至一年), 10.08, 
1996-08-23, 中长期贷款(三至五年), 11.70, 
1996-08-23, 中长期贷款(五年以上), 12.42, 
1996-08-23, 中长期贷款(一至三年), 10.98, 
1996-08-23, 贴现(贴现), , 
1996-08-23, 再贴现(再贴现率), , 
1996-08-23, 优惠贷款(扶贫贴息贷款), 2.88, 
1996-08-23, 优惠贷款(老少边穷发展经济贷款), 7.20, 
1996-08-23, 优惠贷款(民政部门福利工厂贷款), 8.64, 
1996-08-23, 优惠贷款(民族贸易及民族用品生产贷款), 7.20, 
1996-08-23, 优惠贷款(贫困县办工业贷款), 7.20, 
1996-08-23, 个人住房商业贷款(六个月以内), 8.26, 
1996-08-23, 个人住房商业贷款(六个月至一年), 9.07, 
1996-08-23, 个人住房商业贷款(三至五年), 10.53, 
1996-08-23, 个人住房商业贷款(五年以上), 11.18, 
1996-08-23, 个人住房商业贷款(一至三年), 9.88, 
1996-08-23, 个人住房公积金贷款(五年以上), , 
1996-08-23, 个人住房公积金贷款(五年以下), , 
1996-05-01, 短期贷款(六个月以内), 9.72, 
1996-05-01, 短期贷款(六个月至一年), 10.98, 
1996-05-01, 中长期贷款(三至五年), 14.94, 
1996-05-01, 中长期贷款(五年以上), 15.12, 
1996-05-01, 中长期贷款(一至三年), 13.14, 
1996-05-01, 贴现(贴现), , 
1996-05-01, 再贴现(再贴现率), , 
1996-05-01, 优惠贷款(扶贫贴息贷款), 2.88, 
1996-05-01, 优惠贷款(老少边穷发展经济贷款), 8.10, 
1996-05-01, 优惠贷款(民政部门福利工厂贷款), 9.54, 
1996-05-01, 优惠贷款(民族贸易及民族用品生产贷款), 8.10, 
1996-05-01, 优惠贷款(贫困县办工业贷款), 8.10, 
1996-05-01, 个人住房商业贷款(六个月以内), 8.75, 
1996-05-01, 个人住房商业贷款(六个月至一年), 9.88, 
1996-05-01, 个人住房商业贷款(三至五年), 13.45, 
1996-05-01, 个人住房商业贷款(五年以上), 13.61, 
1996-05-01, 个人住房商业贷款(一至三年), 11.83, 
1996-05-01, 个人住房公积金贷款(五年以上), , 
1996-05-01, 个人住房公积金贷款(五年以下), , 
1995-07-01, 短期贷款(六个月以内), 10.08, 
1995-07-01, 短期贷款(六个月至一年), 12.06, 
1995-07-01, 中长期贷款(三至五年), 15.12, 
1995-07-01, 中长期贷款(五年以上), 15.30, 
1995-07-01, 中长期贷款(一至三年), 13.50, 
1995-07-01, 贴现(贴现), , 
1995-07-01, 优惠贷款(扶贫贴息贷款), 2.88, 
1995-07-01, 优惠贷款(老少边穷发展经济贷款), 9.36, 
1995-07-01, 优惠贷款(民政部门福利工厂贷款), 10.62, 
1995-07-01, 优惠贷款(民族贸易及民族用品生产贷款), 9.36, 
1995-07-01, 优惠贷款(贫困县办工业贷款), 9.36, 
1995-07-01, 个人住房商业贷款(六个月以内), 9.07, 
1995-07-01, 个人住房商业贷款(六个月至一年), 10.85, 
1995-07-01, 个人住房商业贷款(三至五年), 13.61, 
1995-07-01, 个人住房商业贷款(五年以上), 13.77, 
1995-07-01, 个人住房商业贷款(一至三年), 12.15, 
1995-07-01, 个人住房公积金贷款(五年以上), , 
1995-07-01, 个人住房公积金贷款(五年以下), , 
1995-01-01, 短期贷款(六个月以内), 9.00, 
1995-01-01, 短期贷款(六个月至一年), 10.98, 
1995-01-01, 中长期贷款(三至五年), 14.58, 
1995-01-01, 中长期贷款(五年以上), 14.76, 
1995-01-01, 中长期贷款(一至三年), 12.96, 
1995-01-01, 贴现(贴现), , 
1995-01-01, 优惠贷款(扶贫贴息贷款), 2.88, 
1995-01-01, 优惠贷款(老少边穷发展经济贷款), 6.48, 
1995-01-01, 优惠贷款(民政部门福利工厂贷款), 7.92, 
1995-01-01, 优惠贷款(民族贸易及民族用品生产贷款), 6.48, 
1995-01-01, 优惠贷款(贫困县办工业贷款), 6.48, 
1995-01-01, 个人住房商业贷款(六个月以内), 8.10, 
1995-01-01, 个人住房商业贷款(六个月至一年), 9.88, 
1995-01-01, 个人住房商业贷款(三至五年), 13.12, 
1995-01-01, 个人住房商业贷款(五年以上), 13.28, 
1995-01-01, 个人住房商业贷款(一至三年), 11.66, 
1995-01-01, 个人住房公积金贷款(五年以上), , 
1995-01-01, 个人住房公积金贷款(五年以下), , 
1993-07-11, 短期贷款(六个月以内), 9.00, 
1993-07-11, 短期贷款(六个月至一年), 10.98, 
1993-07-11, 中长期贷款(三至五年), 13.86, 
1993-07-11, 中长期贷款(五年以上), 14.04, 
1993-07-11, 中长期贷款(一至三年), 12.24, 
1993-07-11, 贴现(贴现), , 
1993-07-11, 优惠贷款(扶贫贴息贷款), 2.88, 
1993-07-11, 优惠贷款(老少边穷发展经济贷款), 6.48, 
1993-07-11, 优惠贷款(民政部门福利工厂贷款), 7.92, 
1993-07-11, 优惠贷款(民族贸易及民族用品生产贷款), 6.48, 
1993-07-11, 优惠贷款(贫困县办工业贷款), 6.48, 
1993-07-11, 个人住房商业贷款(六个月以内), 8.10, 
1993-07-11, 个人住房商业贷款(六个月至一年), 9.88, 
1993-07-11, 个人住房商业贷款(三至五年), 12.47, 
1993-07-11, 个人住房商业贷款(五年以上), 12.64, 
1993-07-11, 个人住房商业贷款(一至三年), 11.02, 
1993-07-11, 个人住房公积金贷款(五年以上), , 
1993-07-11, 个人住房公积金贷款(五年以下), , 
1993-05-15, 短期贷款(六个月以内), 8.82, 
1993-05-15, 短期贷款(六个月至一年), 9.36, 
1993-05-15, 中长期贷款(三至五年), 12.06, 
1993-05-15, 中长期贷款(五年以上), 12.24, 
1993-05-15, 中长期贷款(一至三年), 10.80, 
1993-05-15, 贴现(贴现), , 
1993-05-15, 优惠贷款(扶贫贴息贷款), 2.88, 
1993-05-15, 优惠贷款(老少边穷发展经济贷款), 6.48, 
1993-05-15, 优惠贷款(民政部门福利工厂贷款), 7.92, 
1993-05-15, 优惠贷款(民族贸易及民族用品生产贷款), 6.48, 
1993-05-15, 优惠贷款(贫困县办工业贷款), 6.48, 
1993-05-15, 个人住房商业贷款(六个月以内), 7.94, 
1993-05-15, 个人住房商业贷款(六个月至一年), 8.42, 
1993-05-15, 个人住房商业贷款(三至五年), 10.85, 
1993-05-15, 个人住房商业贷款(五年以上), 11.02, 
1993-05-15, 个人住房商业贷款(一至三年), 9.72, 
1993-05-15, 个人住房公积金贷款(五年以上), , 
1993-05-15, 个人住房公积金贷款(五年以下), , 
1993-05-12, 特种贷款(特种贷款利率), 11.25, 
1991-04-21, 短期贷款(六个月以内), 8.10, 
1991-04-21, 短期贷款(六个月至一年), 8.64, 
1991-04-21, 中长期贷款(三至五年), 9.54, 
1991-04-21, 中长期贷款(五年以上), 9.72, 
1991-04-21, 中长期贷款(一至三年), 9.00, 
1991-04-21, 贴现(贴现), , 
1991-04-21, 优惠贷款(扶贫贴息贷款), 2.88, 
1991-04-21, 优惠贷款(老少边穷发展经济贷款), 5.76, 
1991-04-21, 优惠贷款(民政部门福利工厂贷款), 7.20, 
1991-04-21, 优惠贷款(民族贸易及民族用品生产贷款), 5.76, 
1991-04-21, 优惠贷款(贫困县办工业贷款), 5.76, 
1991-04-21, 个人住房商业贷款(六个月以内), 7.29, 
1991-04-21, 个人住房商业贷款(六个月至一年), 7.78, 
1991-04-21, 个人住房商业贷款(三至五年), 8.59, 
1991-04-21, 个人住房商业贷款(五年以上), 8.75, 
1991-04-21, 个人住房商业贷款(一至三年), 8.10, 
1991-04-21, 个人住房公积金贷款(五年以上), , 
1991-04-21, 个人住房公积金贷款(五年以下), , 
1991-04-21, 特种贷款(特种贷款利率), 9.72, 
1990-08-21, 短期贷款(六个月以内), 8.64, 
1990-08-21, 短期贷款(六个月至一年), 9.36, 
1990-08-21, 中长期贷款(三至五年), 10.80, 
1990-08-21, 中长期贷款(五年以上), 11.16, 
1990-08-21, 中长期贷款(一至三年), 10.08, 
1990-08-21, 贴现(贴现), , 
1990-08-21, 优惠贷款(扶贫贴息贷款), , 
1990-08-21, 优惠贷款(老少边穷发展经济贷款), , 
1990-08-21, 优惠贷款(民政部门福利工厂贷款), , 
1990-08-21, 优惠贷款(民族贸易及民族用品生产贷款), , 
1990-08-21, 优惠贷款(贫困县办工业贷款), , 
1990-08-21, 个人住房商业贷款(六个月以内), 7.78, 
1990-08-21, 个人住房商业贷款(六个月至一年), 8.42, 
1990-08-21, 个人住房商业贷款(三至五年), 9.72, 
1990-08-21, 个人住房商业贷款(五年以上), 10.04, 
1990-08-21, 个人住房商业贷款(一至三年), 9.07, 
1990-08-21, 个人住房公积金贷款(五年以上), , 
1990-08-21, 个人住房公积金贷款(五年以下), , 
1990-08-21, 特种贷款(特种贷款利率), 10.80, 
1990-04-18, 特种贷款(特种贷款利率), 12.10, 
1990-03-21, 短期贷款(六个月以内), 9.00, 
1990-03-21, 短期贷款(六个月至一年), 10.08, 
1990-03-21, 中长期贷款(三至五年), 11.52, 
1990-03-21, 中长期贷款(五年以上), 11.88, 
1990-03-21, 中长期贷款(一至三年), 10.80, 
1990-03-21, 贴现(贴现), , 
1990-03-21, 优惠贷款(扶贫贴息贷款), , 
1990-03-21, 优惠贷款(老少边穷发展经济贷款), , 
1990-03-21, 优惠贷款(民政部门福利工厂贷款), , 
1990-03-21, 优惠贷款(民族贸易及民族用品生产贷款), , 
1990-03-21, 优惠贷款(贫困县办工业贷款), , 
1990-03-21, 个人住房商业贷款(六个月以内), 8.10, 
1990-03-21, 个人住房商业贷款(六个月至一年), 9.07, 
1990-03-21, 个人住房商业贷款(三至五年), 10.37, 
1990-03-21, 个人住房商业贷款(五年以上), 10.69, 
1990-03-21, 个人住房商业贷款(一至三年), 9.72, 
1990-03-21, 个人住房公积金贷款(五年以上), , 
1990-03-21, 个人住房公积金贷款(五年以下), , 
1989-02-01, 短期贷款(六个月以内), 11.34, 
1989-02-01, 短期贷款(六个月至一年), 11.34, 
1989-02-01, 中长期贷款(三至五年), 14.40, 
1989-02-01, 中长期贷款(五年以上), 19.26, 
1989-02-01, 中长期贷款(一至三年), 12.78, 
1989-02-01, 贴现(贴现), , 
1989-02-01, 优惠贷款(扶贫贴息贷款), , 
1989-02-01, 优惠贷款(老少边穷发展经济贷款), , 
1989-02-01, 优惠贷款(民政部门福利工厂贷款), , 
1989-02-01, 优惠贷款(民族贸易及民族用品生产贷款), , 
1989-02-01, 优惠贷款(贫困县办工业贷款), , 
1989-02-01, 个人住房商业贷款(六个月以内), 10.21, 
1989-02-01, 个人住房商业贷款(六个月至一年), 10.21, 
1989-02-01, 个人住房商业贷款(三至五年), 12.96, 
1989-02-01, 个人住房商业贷款(五年以上), 17.33, 
1989-02-01, 个人住房商业贷款(一至三年), 11.50, 
1989-02-01, 个人住房公积金贷款(五年以上), , 
1989-02-01, 个人住房公积金贷款(五年以下), , 
1985-07-22, 特种贷款(特种贷款利率), , 
